FECHA (YYMMDD);HORA (HHMM);;
200111;1300;147,059;
200111;1400;138,744;
200111;1500;135,779;
200111;1600;125,966;
200111;1700;125,397;
200111;1800;130,161;
200111;1900;117,624;
200111;2000;207,569;
200111;2100;201,799;
200111;2200;196,82;
200111;2300;187,493;
200112;0000;186,374;
200112;0100;145,99;
200112;0200;28,3165;
200112;0300;349,851;
200112;0400;317,452;
200112;0500;334,042;
200112;0600;344,333;
200112;0700;116,787;
200112;0800;98,3441;
200112;0900;152,006;
200112;1000;110,425;
200112;1100;149,361;
200112;1200;158,79;
200112;1300;138,827;
200112;1400;146,348;
200112;1500;176,343;
200112;1600;220,479;
200112;1700;246,155;
200112;1800;239,508;
200112;1900;227,83;
200112;2000;195,593;
200112;2100;231,024;
200112;2200;191,102;
200112;2300;216,014;
200113;0000;187,446;
200113;0100;200,784;
200113;0200;189,508;
200113;0300;193,177;
200113;0400;185,501;
200113;0500;186,972;
200113;0600;154,709;
200113;0700;78,0332;
200113;0800;152,008;
200113;0900;137,015;
200113;1000;180,904;
200113;1100;108,733;
200113;1200;168,283;
200113;1300;139,837;
200113;1400;144,905;
200113;1500;136,099;
200113;1600;121,415;
200113;1700;120,37;
200113;1800;115,442;
200113;1900;135,904;
200113;2000;202,144;
200113;2100;197,786;
200113;2200;163,021;
200113;2300;124,379;
200114;0000;156,053;
200114;0100;123,059;
200114;0200;135,696;
200114;0300;104,45;
200114;0400;342,924;
200114;0500;111,8;
200114;0600;135,367;
200114;0700;125,845;
200114;0800;125,256;
200114;0900;137,097;
200114;1000;150,679;
200114;1100;154,194;
200114;1200;142,484;
200114;1300;142,388;
200114;1400;143,002;
200114;1500;142,701;
200114;1600;144,552;
200114;1700;138,059;
200114;1800;149,671;
200114;1900;146,685;
200114;2000;156,354;
200114;2100;173,547;
200114;2200;172,332;
200114;2300;167,035;
200115;0000;170,55;
200115;0100;173,47;
200115;0200;170,628;
200115;0300;164,938;
200115;0400;164,981;
200115;0500;166,784;
200115;0600;174,472;
200115;0700;160,337;
200115;0800;149,399;
200115;0900;145,178;
200115;1000;147,915;
200115;1100;145,652;
200115;1200;148,969;
200115;1300;142,524;
200115;1400;148,856;
200115;1500;153,126;
200115;1600;159,027;
200115;1700;153,989;
200115;1800;158,941;
200115;1900;161,43;
200115;2000;164,49;
200115;2100;167,023;
200115;2200;166,849;
200115;2300;163,381;
200116;0000;165,131;
200116;0100;168,887;
200116;0200;169,669;
200116;0300;170,318;
200116;0400;168,315;
200116;0500;168,892;
200116;0600;165,17;
200116;0700;158,387;
200116;0800;141,791;
200116;0900;125,12;
200116;1000;122,803;
200116;1100;118,298;
200116;1200;73,1542;
200116;1300;70,2148;
200116;1400;28,1157;
200116;1500;39,0409;
200116;1600;60,977;
200116;1700;143,221;
200116;1800;106,281;
200116;1900;92,7688;
200116;2000;215,774;
200116;2100;193,033;
200116;2200;215,807;
200116;2300;338,439;
200117;0000;357,461;
200117;0100;343,45;
200117;0200;328,61;
200117;0300;338,922;
200117;0400;339,484;
200117;0500;331,338;
200117;0600;325,173;
200117;0700;149,756;
200117;0800;160,113;
200117;0900;137,255;
200117;1000;147,213;
200117;1100;112,301;
