FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200110;1600;1,56;;;
200110;1700;1,2;;;
200110;1800;1,04;;;
200110;1900;1,32;;;
200110;2000;1,73;;;
200110;2100;1,1;;;
200110;2200;1,07;;;
200110;2300;1,07;;;
200111;0000;1,54;;;
200111;0100;1,63;;;
200111;0200;1,52;;;
200111;0300;1,14;;;
200111;0400;1,19;;;
200111;0500;1,98;;;
200111;0600;2,19;;;
200111;0700;1,8;;;
200111;0800;1,33;;;
200111;0900;1,24;;;
200111;1000;1,15;;;
200111;1100;1,21;;;
200111;1200;1,31;;;
200111;1300;1,5;;;
200111;1400;1,75;;;
200111;1500;2,17;;;
200111;1600;2,1;;;
200111;1700;1,61;;;
200111;1800;1,32;;;
200111;1900;1,31;;;
200111;2000;1,98;;;
200111;2100;1,37;;;
200111;2200;1,2;;;
200111;2300;1,17;;;
200112;0000;1,14;;;
200112;0100;1,05;;;
200112;0200;1,41;;;
200112;0300;1,35;;;
200112;0400;1,24;;;
200112;0500;1,23;;;
200112;0600;1,17;;;
200112;0700;1,04;;;
200112;0800;1,02;;;
200112;0900;1,03;;;
200112;1000;1,04;;;
200112;1100;1,04;;;
200112;1200;1,26;;;
200112;1300;1,57;;;
200112;1400;1,85;;;
200112;1500;1,84;;;
200112;1600;1,55;;;
200112;1700;1,16;;;
200112;1800;1,06;;;
200112;1900;1,04;;;
200112;2000;1,07;;;
200112;2100;1,01;;;
200112;2200;1,06;;;
200112;2300;1,01;;;
200113;0000;1,02;;;
200113;0100;1,07;;;
200113;0200;1,03;;;
200113;0300;1,05;;;
200113;0400;1,01;;;
200113;0500;1,01;;;
200113;0600;1,03;;;
200113;0700;1,07;;;
200113;0800;1,03;;;
200113;0900;1,02;;;
200113;1000;1,03;;;
200113;1100;1,02;;;
200113;1200;1,05;;;
200113;1300;1,38;;;
200113;1400;1,79;;;
200113;1500;2;;;
200113;1600;1,86;;;
200113;1700;1,43;;;
200113;1800;1,23;;;
200113;1900;1,25;;;
200113;2000;1,23;;;
200113;2100;1,04;;;
200113;2200;1,04;;;
200113;2300;1,06;;;
200114;0000;1,13;;;
200114;0100;1,38;;;
200114;0200;1,65;;;
200114;0300;1,81;;;
200114;0400;1,82;;;
200114;0500;1,85;;;
200114;0600;1,73;;;
200114;0700;1,89;;;
200114;0800;1,91;;;
200114;0900;1,86;;;
200114;1000;1,71;;;
200114;1100;1,66;;;
200114;1200;1,68;;;
200114;1300;1,54;;;
200114;1400;1,36;;;
200114;1500;1,09;;;
200114;1600;1,04;;;
200114;1700;1,13;;;
200114;1800;1,15;;;
200114;1900;1,2;;;
200114;2000;1,16;;;
200114;2100;1,17;;;
200114;2200;1,1;;;
200114;2300;1,11;;;
200115;0000;1,02;;;
200115;0100;1;;;
200115;0200;1;;;
200115;0300;1,02;;;
200115;0400;1;;;
200115;0500;1;;;
200115;0600;1,01;;;
200115;0700;1,01;;;
200115;0800;1,01;;;
200115;0900;1,01;;;
200115;1000;1,01;;;
200115;1100;1,01;;;
200115;1200;1,01;;;
200115;1300;1,03;;;
200115;1400;1,01;;;
200115;1500;1,01;;;
200115;1600;1,01;;;
200115;1700;1,08;;;
200115;1800;1,11;;;
200115;1900;1,24;;;
200115;2000;1,17;;;
200115;2100;1,12;;;
200115;2200;1,06;;;
200115;2300;1,04;;;
200116;0000;1,01;;;
200116;0100;1,04;;;
200116;0200;1,02;;;
200116;0300;1,01;;;
200116;0400;1;;;
200116;0500;1;;;
200116;0600;1;;;
200116;0700;1,02;;;
200116;0800;1,02;;;
200116;0900;1,17;;;
200116;1000;1,43;;;
200116;1100;1,5;;;
200116;1200;1,58;;;
200116;1300;1,7;;;
200116;1400;1,79;;;
200116;1500;2,05;;;
200116;1600;2,01;;;
200116;1700;1,94;;;
200116;1800;2,4;;;
200116;1900;4,36;;;
200116;2000;2,79;;;
200116;2100;1,6;;;
200116;2200;1,61;;;
200116;2300;1,57;;;
200117;0000;1,41;;;
200117;0100;1,37;;;
200117;0200;1,28;;;
200117;0300;1,3;;;
200117;0400;1,28;;;
200117;0500;1,28;;;
200117;0600;1,39;;;
200117;0700;1,33;;;
200117;0800;1,81;;;
200117;0900;2,09;;;
200117;1000;1,96;;;
200117;1100;;;;
200117;1200;1,44;;;
200117;1300;1,45;;;
200117;1400;1,76;;;
200117;1500;2,21;;;
200117;1600;2,32;;;
200117;1700;2,07;;;
200117;1800;1,31;;;
200117;1900;1,1;;;
200117;2000;1,12;;;
200117;2100;1,15;;;
200117;2200;1,16;;;
200117;2300;1,19;;;
200118;0000;1,19;;;
200118;0100;1,73;;;
200118;0200;1,71;;;
200118;0300;1,47;;;
200118;0400;1,53;;;
200118;0500;1,71;;;
200118;0600;1,49;;;
200118;0700;1,46;;;
200118;0800;1,4;;;
200118;0900;1,42;;;
200118;1000;1,28;;;
200118;1100;1,27;;;
200118;1200;1,43;;;
200118;1300;1,57;;;
200118;1400;1,52;;;
200118;1500;1,72;;;
200118;1600;1,84;;;
200118;1700;1,59;;;
