FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200111;1600;31;;;
200111;1700;32;;;
200111;1800;33;;;
200111;1900;29;;;
200111;2000;14;;;
200111;2100;17;;;
200111;2200;12;;;
200111;2300;10;;;
200112;0000;14;;;
200112;0100;14;;;
200112;0200;9;;;
200112;0300;7;;;
200112;0400;4;;;
200112;0500;4;;;
200112;0600;6;;;
200112;0700;10;;;
200112;0800;10;;;
200112;0900;13;;;
200112;1000;18;;;
200112;1100;23;;;
200112;1200;26;;;
200112;1300;29;;;
200112;1400;30;;;
200112;1500;31;;;
200112;1600;26;;;
200112;1700;26;;;
200112;1800;25;;;
200112;1900;22;;;
200112;2000;20;;;
200112;2100;19;;;
200112;2200;11;;;
200112;2300;10;;;
200113;0000;10;;;
200113;0100;10;;;
200113;0200;9;;;
200113;0300;8;;;
200113;0400;7;;;
200113;0500;5;;;
200113;0600;4;;;
200113;0700;5;;;
200113;0800;8;;;
200113;0900;11;;;
200113;1000;13;;;
200113;1100;17;;;
200113;1200;20;;;
200113;1300;23;;;
200113;1400;32;;;
200113;1500;28;;;
200113;1600;26;;;
200113;1700;28;;;
200113;1800;32;;;
200113;1900;31;;;
200113;2000;14;;;
200113;2100;11;;;
200113;2200;9;;;
200113;2300;4;;;
200114;0000;7;;;
200114;0100;8;;;
200114;0200;7;;;
200114;0300;6;;;
200114;0400;4;;;
200114;0500;3;;;
200114;0600;4;;;
200114;0700;7;;;
200114;0800;10;;;
200114;0900;13;;;
200114;1000;17;;;
200114;1100;18;;;
200114;1200;19;;;
200114;1300;22;;;
200114;1400;24;;;
200114;1500;26;;;
200114;1600;23;;;
200114;1700;16;;;
200114;1800;16;;;
200114;1900;14;;;
200114;2000;12;;;
200114;2100;11;;;
200114;2200;12;;;
200114;2300;11;;;
200115;0000;11;;;
200115;0100;12;;;
200115;0200;12;;;
200115;0300;12;;;
200115;0400;11;;;
200115;0500;11;;;
200115;0600;9;;;
200115;0700;10;;;
200115;0800;11;;;
200115;0900;13;;;
200115;1000;15;;;
200115;1100;17;;;
200115;1200;18;;;
200115;1300;20;;;
200115;1400;21;;;
200115;1500;22;;;
200115;1600;19;;;
200115;1700;27;;;
200115;1800;27;;;
200115;1900;25;;;
200115;2000;19;;;
200115;2100;17;;;
200115;2200;15;;;
200115;2300;15;;;
200116;0000;14;;;
200116;0100;12;;;
200116;0200;12;;;
200116;0300;12;;;
200116;0400;12;;;
200116;0500;11;;;
200116;0600;11;;;
200116;0700;11;;;
200116;0800;11;;;
200116;0900;12;;;
200116;1000;14;;;
200116;1100;16;;;
200116;1200;19;;;
200116;1300;22;;;
200116;1400;25;;;
200116;1500;27;;;
200116;1600;29;;;
200116;1700;29;;;
200116;1800;27;;;
200116;1900;20;;;
200116;2000;5;;;
200116;2100;11;;;
200116;2200;6;;;
200116;2300;2;;;
200117;0000;2;;;
200117;0100;2;;;
200117;0200;2;;;
200117;0300;2;;;
200117;0400;2;;;
200117;0500;2;;;
200117;0600;2;;;
200117;0700;5;;;
200117;0800;12;;;
200117;0900;20;;;
200117;1000;30;;;
200117;1100;;;;
200117;1200;52;;;
200117;1300;46;;;
200117;1400;47;;;
200117;1500;51;;;
200117;1600;54;;;
200117;1700;38;;;
200117;1800;23;;;
200117;1900;19;;;
200117;2000;20;;;
200117;2100;18;;;
