FECHA (YYMMDD);HORA (HHMM);;
200110;1700;3,55503;
200110;1800;3,12947;
200110;1900;2,36491;
200110;2000;1,02362;
200110;2100;1,25143;
200110;2200;1,24179;
200110;2300;0,621612;
200111;0000;0,696635;
200111;0100;0,500728;
200111;0200;1,40919;
200111;0300;1,49008;
200111;0400;1,00893;
200111;0500;1,18199;
200111;0600;1,69015;
200111;0700;1,80727;
200111;0800;2,02219;
200111;0900;1,96729;
200111;1000;1,72781;
200111;1100;1,22291;
200111;1200;1,22389;
200111;1300;1,38809;
200111;1400;1,44775;
200111;1500;2,02014;
200111;1600;2,6331;
200111;1700;2,80033;
200111;1800;2,38383;
200111;1900;0,995312;
200111;2000;1,09535;
200111;2100;1,44526;
200111;2200;1,11809;
200111;2300;0,990003;
200112;0000;0,962466;
200112;0100;0,727057;
200112;0200;0,453659;
200112;0300;0,393086;
200112;0400;0,287585;
200112;0500;0,523709;
200112;0600;0,645275;
200112;0700;0,982424;
200112;0800;1,17289;
200112;0900;0,774819;
200112;1000;0,641862;
200112;1100;1,1727;
200112;1200;1,19577;
200112;1300;1,14048;
200112;1400;0,78984;
200112;1500;1,0904;
200112;1600;2,32042;
200112;1700;2,46076;
200112;1800;2,25684;
200112;1900;2,13841;
200112;2000;2,10614;
200112;2100;1,61915;
200112;2200;1,88428;
200112;2300;1,16749;
200113;0000;1,44575;
200113;0100;1,04113;
200113;0200;1,54233;
200113;0300;1,19208;
200113;0400;0,893345;
200113;0500;0,852191;
200113;0600;0,242119;
200113;0700;0,49592;
200113;0800;1,06556;
200113;0900;1,29864;
200113;1000;0,827014;
200113;1100;0,830988;
200113;1200;1,22118;
200113;1300;2,12391;
200113;1400;2,30313;
200113;1500;2,19476;
200113;1600;3,32292;
200113;1700;3,15655;
200113;1800;2,81823;
200113;1900;1,46425;
200113;2000;1,88685;
200113;2100;1,95677;
200113;2200;0,522245;
200113;2300;0,756375;
200114;0000;1,106;
200114;0100;1,05553;
200114;0200;0,452216;
200114;0300;0,631275;
200114;0400;0,303821;
200114;0500;0,163593;
200114;0600;0,878554;
200114;0700;2,04782;
200114;0800;2,18317;
200114;0900;1,52231;
200114;1000;1,59767;
200114;1100;2,56371;
200114;1200;3,52891;
200114;1300;4,02108;
200114;1400;3,85246;
200114;1500;4,30723;
200114;1600;4,42654;
200114;1700;4,54608;
200114;1800;3,85889;
200114;1900;3,15545;
200114;2000;2,00863;
200114;2100;2,33952;
200114;2200;2,89624;
200114;2300;3,7525;
200115;0000;3,8471;
200115;0100;3,50931;
200115;0200;3,59102;
200115;0300;2,90584;
200115;0400;2,80939;
200115;0500;2,95301;
200115;0600;3,63855;
200115;0700;3,26949;
200115;0800;4,75847;
200115;0900;4,76907;
200115;1000;4,7757;
200115;1100;5,17358;
200115;1200;4,87561;
200115;1300;4,96973;
200115;1400;4,9883;
200115;1500;5,02615;
200115;1600;4,7451;
200115;1700;4,45275;
200115;1800;4,10471;
200115;1900;4,05001;
200115;2000;3,6093;
200115;2100;3,6988;
200115;2200;3,23229;
200115;2300;3,36138;
200116;0000;3,24281;
200116;0100;3,21527;
200116;0200;3,87922;
200116;0300;3,41058;
200116;0400;2,74457;
200116;0500;2,63701;
200116;0600;2,41781;
200116;0700;2,76954;
200116;0800;2,85696;
200116;0900;2,61074;
200116;1000;2,11834;
200116;1100;1,76703;
200116;1200;1,34456;
200116;1300;1,38001;
200116;1400;0,907246;
200116;1500;0,838513;
200116;1600;0,782095;
200116;1700;0,44151;
200116;1800;1,35386;
200116;1900;0,475602;
200116;2000;0,698479;
200116;2100;1,19769;
200116;2200;0,301678;
200116;2300;0,883154;
200117;0000;1,01089;
200117;0100;0,258193;
200117;0200;0,519103;
200117;0300;0,574564;
200117;0400;0,794274;
200117;0500;0,271344;
200117;0600;0,213464;
200117;0700;0,683125;
200117;0800;1,44983;
200117;0900;0,692108;
200117;1000;0,816005;
200117;1100;0,419193;
200117;1200;0,649607;
200117;1300;1,28027;
200117;1400;1,89638;
200117;1500;1,80566;
200117;1600;2,19484;
200117;1700;2,3532;
200117;1800;2,42858;
200117;1900;2,17131;
200117;2000;2,39143;
200117;2100;1,58819;
200117;2200;1,09952;
200117;2300;0,577643;
200118;0000;0,155719;
200118;0100;0,142488;
200118;0200;0,237901;
200118;0300;0,186654;
200118;0400;0,0916984;
200118;0500;0,247438;
200118;0600;0,256689;
200118;0700;0,87931;
200118;0800;1,07222;
200118;0900;1,02716;
200118;1000;1,19592;
200118;1100;0,882622;
200118;1200;0,994695;
200118;1300;0,800002;
200118;1400;1,49324;
200118;1500;1,71287;
200118;1600;1,7497;
200118;1700;2,19948;
200118;1800;1,8662;
200118;1900;1,70104;
200118;2000;1,55864;
200118;2100;1,37618;
200118;2200;0,776812;
200118;2300;0,413867;
200119;0000;0,249471;
