FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200110;0100;1,18;;;
200110;0200;1;;;
200110;0300;1,47;;;
200110;0400;3,07;;;
200110;0500;4,89;;;
200110;0600;5,4;;;
200110;0700;3,16;;;
200110;0800;1,19;;;
200110;0900;1,11;;;
200110;1000;1;;;
200110;1100;1;;;
200110;1200;1,13;;;
200110;1300;1;;;
200110;1400;1;;;
200110;1500;1,01;;;
200110;1600;1,39;;;
200110;1700;1,02;;;
200110;1800;1,51;;;
200110;1900;3,59;;;
200110;2000;18,71;;;
200110;2100;23,01;;;
200110;2200;9,87;;;
200110;2300;13,79;;;
200111;0000;14,87;;;
200111;0100;9,23;;;
200111;0200;6,33;;;
200111;0300;1,05;;;
200111;0400;1,45;;;
200111;0500;3,2;;;
200111;0600;3,39;;;
200111;0700;2,09;;;
200111;0800;1;;;
200111;0900;1;;;
200111;1000;1;;;
200111;1100;1;;;
200111;1200;1;;;
200111;1300;1;;;
200111;1400;1;;;
200111;1500;1;;;
200111;1600;1;;;
200111;1700;1;;;
200111;1800;1;;;
200111;1900;2,56;;;
200111;2000;22,62;;;
200111;2100;10,66;;;
200111;2200;16,31;;;
200111;2300;16,23;;;
200112;0000;7,69;;;
200112;0100;5,42;;;
200112;0200;6,81;;;
200112;0300;11,44;;;
200112;0400;13,35;;;
200112;0500;11,51;;;
200112;0600;8,85;;;
200112;0700;1,39;;;
200112;0800;1;;;
200112;0900;1;;;
200112;1000;1;;;
200112;1100;1,22;;;
200112;1200;1,26;;;
200112;1300;1;;;
200112;1400;1;;;
200112;1500;1;;;
200112;1600;1,16;;;
200112;1700;1,12;;;
200112;1800;1,57;;;
200112;1900;3,05;;;
200112;2000;3,23;;;
200112;2100;1,89;;;
200112;2200;3,39;;;
200112;2300;2,45;;;
200113;0000;1,41;;;
200113;0100;1;;;
200113;0200;1;;;
200113;0300;1;;;
200113;0400;1;;;
200113;0500;2,64;;;
200113;0600;5,06;;;
200113;0700;4,88;;;
200113;0800;3,65;;;
200113;0900;1,1;;;
200113;1000;1;;;
200113;1100;1;;;
200113;1200;1,21;;;
200113;1300;6,54;;;
200113;1400;2,4;;;
200113;1500;1;;;
200113;1600;1,61;;;
200113;1700;1,1;;;
200113;1800;1,22;;;
200113;1900;4,91;;;
200113;2000;12,66;;;
200113;2100;4,58;;;
200113;2200;4,91;;;
200113;2300;11,29;;;
200114;0000;7,25;;;
200114;0100;3,68;;;
200114;0200;2,57;;;
200114;0300;3,4;;;
200114;0400;4,84;;;
200114;0500;6,35;;;
200114;0600;8,19;;;
200114;0700;3,54;;;
200114;0800;1,36;;;
200114;0900;1,04;;;
200114;1000;1;;;
200114;1100;1,21;;;
200114;1200;1;;;
200114;1300;1,15;;;
200114;1400;1,01;;;
200114;1500;1;;;
200114;1600;1,68;;;
200114;1700;1;;;
200114;1800;1,17;;;
200114;1900;2,65;;;
200114;2000;3,44;;;
200114;2100;3,77;;;
200114;2200;1,35;;;
200114;2300;1,13;;;
200115;0000;1;;;
200115;0100;1;;;
200115;0200;1;;;
200115;0300;1;;;
200115;0400;1;;;
200115;0500;1;;;
200115;0600;1,83;;;
200115;0700;1,36;;;
200115;0800;1;;;
200115;0900;1;;;
200115;1000;1;;;
200115;1100;1;;;
200115;1200;1;;;
200115;1300;1;;;
200115;1400;1;;;
200115;1500;1,06;;;
200115;1600;3,43;;;
200115;1700;1,04;;;
200115;1800;1,71;;;
200115;1900;1,79;;;
200115;2000;1,57;;;
200115;2100;1,02;;;
200115;2200;1,12;;;
200115;2300;1,04;;;
200116;0000;1;;;
200116;0100;1,02;;;
200116;0200;1;;;
200116;0300;1;;;
200116;0400;1;;;
200116;0500;1,01;;;
200116;0600;1,33;;;
200116;0700;1,47;;;
200116;0800;1,05;;;
200116;0900;1;;;
200116;1000;1;;;
200116;1100;1;;;
200116;1200;1,15;;;
200116;1300;1;;;
200116;1400;1;;;
200116;1500;1,03;;;
200116;1600;1,2;;;
200116;1700;1,61;;;
200116;1800;3,62;;;
200116;1900;7,59;;;
200116;2000;27,82;;;
200116;2100;14,81;;;
200116;2200;17,19;;;
200116;2300;21,85;;;
200117;0000;21,03;;;
200117;0100;17,56;;;
200117;0200;15,93;;;
200117;0300;14,09;;;
200117;0400;12,17;;;
200117;0500;11,19;;;
200117;0600;12,17;;;
200117;0700;14,23;;;
200117;0800;8,77;;;
200117;0900;4,86;;;
200117;1000;3,99;;;
200117;1100;;;;
200117;1200;2,61;;;
200117;1300;1,94;;;
200117;1400;1;;;
200117;1500;1,22;;;
200117;1600;1,81;;;
200117;1700;4,98;;;
200117;1800;3,77;;;
200117;1900;6,28;;;
200117;2000;5,42;;;
200117;2100;7,78;;;
200117;2200;8,73;;;
200117;2300;11,33;;;
200118;0000;15,21;;;
200118;0100;13,15;;;
200118;0200;13,04;;;
200118;0300;12,07;;;
200118;0400;11,23;;;
200118;0500;11,04;;;
200118;0600;10,57;;;
200118;0700;12,8;;;
200118;0800;7,14;;;
200118;0900;1,88;;;
200118;1000;1,66;;;
200118;1100;1,08;;;
200118;1200;1,67;;;
200118;1300;1;;;
200118;1400;1;;;
200118;1500;1;;;
200118;1600;1;;;
200118;1700;2,36;;;
200118;1800;4,42;;;
200118;1900;6,23;;;
200118;2000;4,9;;;
200118;2100;6,66;;;
200118;2200;8,79;;;
200118;2300;5,7;;;
200119;0000;9,34;;;
200119;0100;5,6;;;
200119;0200;3,18;;;
200119;0300;2,04;;;
200119;0400;1,01;;;
200119;0500;1,09;;;
200119;0600;1,31;;;
200119;0700;2,02;;;
200119;0800;1,01;;;
200119;0900;1;;;
200119;1000;1;;;
200119;1100;1,07;;;
200119;1200;1,26;;;
200119;1300;1;;;
200119;1400;1;;;
200119;1500;1,64;;;
200119;1600;1;;;
200119;1700;1;;;
200119;1800;1,05;;;
200119;1900;1,38;;;
200119;2000;2,51;;;
200119;2100;5,28;;;
200119;2200;6,4;;;
200119;2300;5,93;;;
200120;0000;3,2;;;
200120;0100;1,78;;;
200120;0200;1;;;
200120;0300;1;;;
200120;0400;1,64;;;
200120;0500;3,08;;;
200120;0600;7,61;;;
200120;0700;5,46;;;
200120;0800;2,89;;;
200120;0900;1,98;;;
200120;1000;1;;;
200120;1100;1,06;;;
200120;1200;1,2;;;
200120;1300;1,08;;;
200120;1400;1;;;
200120;1500;1;;;
200120;1600;4,96;;;
200120;1700;1,03;;;
200120;1800;2,68;;;
200120;1900;7,98;;;
200120;2000;13,9;;;
200120;2100;7,48;;;
200120;2200;7,28;;;
200120;2300;5,73;;;
200121;0000;4,84;;;
200121;0100;5,27;;;
200121;0200;6,62;;;
200121;0300;5,53;;;
200121;0400;7,54;;;
200121;0500;11,84;;;
200121;0600;13,83;;;
200121;0700;6,23;;;
200121;0800;1,98;;;
200121;0900;3,3;;;
200121;1000;;;;
200121;1100;;;;
200121;1200;3,92;;;
200121;1300;2,43;;;
200121;1400;1;;;
200121;1500;1;;;
200121;1600;1,45;;;
200121;1700;1,44;;;
200121;1800;4,74;;;
200121;1900;5,52;;;
200121;2000;5;;;
200121;2100;6,85;;;
200121;2200;6,06;;;
200121;2300;3,76;;;
200122;0000;3,84;;;
200122;0100;5,97;;;
200122;0200;5,08;;;
200122;0300;4;;;
200122;0400;2,9;;;
200122;0500;8,19;;;
200122;0600;10,25;;;
200122;0700;8,73;;;
200122;0800;4,58;;;
200122;0900;1,8;;;
200122;1000;1;;;
200122;1100;1,12;;;
200122;1200;1,04;;;
200122;1300;1,59;;;
200122;1400;1;;;
200122;1500;1,36;;;
200122;1600;1,33;;;
200122;1700;1,44;;;
200122;1800;1,4;;;
200122;1900;1,08;;;
200122;2000;3,16;;;
200122;2100;3,29;;;
200122;2200;2,72;;;
200122;2300;3,45;;;
200123;0000;1,5;;;
200123;0100;1,01;;;
200123;0200;1;;;
200123;0300;1;;;
200123;0400;1,01;;;
200123;0500;2,6;;;
200123;0600;3,61;;;
200123;0700;2,44;;;
200123;0800;2,03;;;
200123;0900;2,24;;;
200123;1000;2,33;;;
200123;1100;1,23;;;
200123;1200;1;;;
200123;1300;1;;;
200123;1400;1,12;;;
200123;1500;1,26;;;
200123;1600;1,83;;;
200123;1700;2,04;;;
200123;1800;3,18;;;
200123;1900;3,99;;;
200123;2000;3,93;;;
200123;2100;4,64;;;
200123;2200;4,26;;;
200123;2300;3,2;;;
200124;0000;1,35;;;
200124;0100;1,57;;;
200124;0200;1,54;;;
200124;0300;1,08;;;
200124;0400;1,31;;;
200124;0500;5,14;;;
200124;0600;8,06;;;
200124;0700;5,59;;;
200124;0800;2,5;;;
200124;0900;1,98;;;
200124;1000;1,7;;;
200124;1100;1,07;;;
200124;1200;1;;;
200124;1300;1,04;;;
200124;1400;6,17;;;
200124;1500;1,31;;;
200124;1600;1,12;;;
200124;1700;1,22;;;
200124;1800;2,81;;;
200124;1900;12,68;;;
200124;2000;33,35;;;
200124;2100;18,34;;;
200124;2200;18,34;;;
200124;2300;23,76;;;
200125;0000;14,08;;;
200125;0100;1,83;;;
200125;0200;2,99;;;
200125;0300;1,88;;;
200125;0400;1,72;;;
200125;0500;1,36;;;
200125;0600;3,26;;;
200125;0700;1,54;;;
200125;0800;1,01;;;
200125;0900;1,1;;;
200125;1000;1,02;;;
200125;1100;1;;;
200125;1200;1;;;
200125;1300;1;;;
200125;1400;1;;;
200125;1500;1;;;
200125;1600;1;;;
200125;1700;1;;;
200125;1800;1;;;
200125;1900;2,25;;;
200125;2000;22,39;;;
200125;2100;31,04;;;
200125;2200;17,45;;;
200125;2300;8,99;;;
200126;0000;10,91;;;
200126;0100;2,56;;;
200126;0200;1,03;;;
200126;0300;1;;;
200126;0400;1;;;
200126;0500;1;;;
200126;0600;1,1;;;
200126;0700;1,08;;;
200126;0800;1;;;
200126;0900;1;;;
200126;1000;1;;;
200126;1100;1;;;
200126;1200;1;;;
200126;1300;1;;;
200126;1400;1;;;
200126;1500;1;;;
200126;1600;1;;;
200126;1700;1;;;
200126;1800;1;;;
200126;1900;1,07;;;
200126;2000;5,51;;;
200126;2100;3,89;;;
200126;2200;1,72;;;
200126;2300;3,05;;;
200127;0000;1;;;
200127;0100;1;;;
200127;0200;1;;;
200127;0300;1;;;
200127;0400;1,14;;;
200127;0500;1,09;;;
200127;0600;2,55;;;
200127;0700;2,37;;;
200127;0800;1,24;;;
200127;0900;1;;;
200127;1000;1,24;;;
200127;1100;1,01;;;
200127;1200;1,07;;;
200127;1300;1;;;
200127;1400;1,1;;;
200127;1500;1;;;
200127;1600;5,3;;;
200127;1700;1,67;;;
200127;1800;2,25;;;
200127;1900;8,46;;;
200127;2000;18,96;;;
200127;2100;10,07;;;
200127;2200;14,08;;;
200127;2300;10,05;;;
200128;0000;12,94;;;
200128;0100;3,7;;;
200128;0200;1,15;;;
200128;0300;3,28;;;
200128;0400;2,52;;;
200128;0500;3,94;;;
200128;0600;4,57;;;
200128;0700;2,95;;;
200128;0800;1,38;;;
200128;0900;1;;;
200128;1000;1;;;
200128;1100;1;;;
200128;1200;1,12;;;
200128;1300;1;;;
200128;1400;1;;;
200128;1500;1;;;
200128;1600;3,1;;;
200128;1700;2,03;;;
200128;1800;2,37;;;
200128;1900;3,14;;;
200128;2000;5,02;;;
200128;2100;2,53;;;
200128;2200;1,58;;;
