FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200111;1100;16;;;
200111;1200;22;;;
200111;1300;20;;;
200111;1400;16;;;
200111;1500;21;;;
200111;1600;24;;;
200111;1700;24;;;
200111;1800;21;;;
200111;1900;24;;;
200111;2000;40;;;
200111;2100;26;;;
200111;2200;24;;;
200111;2300;32;;;
200112;0000;19;;;
200112;0100;21;;;
200112;0200;33;;;
200112;0300;32;;;
200112;0400;29;;;
200112;0500;31;;;
200112;0600;25;;;
200112;0700;23;;;
200112;0800;13;;;
200112;0900;15;;;
200112;1000;17;;;
200112;1100;20;;;
200112;1200;22;;;
200112;1300;16;;;
200112;1400;17;;;
200112;1500;16;;;
200112;1600;21;;;
200112;1700;20;;;
200112;1800;13;;;
200112;1900;21;;;
200112;2000;21;;;
200112;2100;11;;;
200112;2200;23;;;
200112;2300;20;;;
200113;0000;14;;;
200113;0100;14;;;
200113;0200;11;;;
200113;0300;25;;;
200113;0400;9;;;
200113;0500;12;;;
200113;0600;23;;;
200113;0700;;;;
200113;0800;21;;;
200113;0900;17;;;
200113;1000;25;;;
200113;1100;31;;;
200113;1200;26;;;
200113;1300;37;;;
200113;1400;31;;;
200113;1500;32;;;
200113;1600;43;;;
200113;1700;29;;;
200113;1800;33;;;
200113;1900;40;;;
200113;2000;31;;;
200113;2100;22;;;
200113;2200;22;;;
200113;2300;32;;;
200114;0000;18;;;
200114;0100;22;;;
200114;0200;19;;;
200114;0300;20;;;
200114;0400;14;;;
200114;0500;21;;;
200114;0600;31;;;
200114;0700;29;;;
200114;0800;27;;;
200114;0900;26;;;
200114;1000;23;;;
200114;1100;38;;;
200114;1200;42;;;
200114;1300;45;;;
200114;1400;32;;;
200114;1500;45;;;
200114;1600;55;;;
200114;1700;41;;;
200114;1800;24;;;
200114;1900;29;;;
200114;2000;25;;;
200114;2100;28;;;
200114;2200;12;;;
200114;2300;35;;;
200115;0000;44;;;
200115;0100;29;;;
200115;0200;30;;;
200115;0300;21;;;
200115;0400;16;;;
200115;0500;17;;;
200115;0600;21;;;
200115;0700;33;;;
200115;0800;56;;;
200115;0900;64;;;
200115;1000;69;;;
200115;1100;85;;;
200115;1200;65;;;
200115;1300;86;;;
200115;1400;73;;;
200115;1500;77;;;
200115;1600;85;;;
200115;1700;74;;;
200115;1800;74;;;
200115;1900;80;;;
200115;2000;66;;;
200115;2100;40;;;
200115;2200;33;;;
200115;2300;31;;;
200116;0000;26;;;
200116;0100;36;;;
200116;0200;17;;;
200116;0300;21;;;
200116;0400;13;;;
200116;0500;13;;;
200116;0600;20;;;
200116;0700;27;;;
200116;0800;24;;;
200116;0900;23;;;
200116;1000;25;;;
200116;1100;27;;;
200116;1200;28;;;
200116;1300;35;;;
200116;1400;31;;;
200116;1500;43;;;
200116;1600;32;;;
200116;1700;34;;;
200116;1800;40;;;
200116;1900;41;;;
200116;2000;65;;;
200116;2100;33;;;
200116;2200;48;;;
200116;2300;79;;;
200117;0000;56;;;
200117;0100;44;;;
200117;0200;41;;;
200117;0300;38;;;
200117;0400;38;;;
200117;0500;37;;;
200117;0600;56;;;
200117;0700;59;;;
200117;0800;48;;;
200117;0900;;;;
200117;1000;;;;
200117;1100;66;;;
200117;1200;59;;;
200117;1300;57;;;
200117;1400;60;;;
200117;1500;56;;;
200117;1600;65;;;
200117;1700;47;;;
200117;1800;33;;;
200117;1900;32;;;
200117;2000;37;;;
200117;2100;35;;;
200117;2200;38;;;
200117;2300;44;;;
200118;0000;38;;;
200118;0100;166;;;
200118;0200;125;;;
