FECHA (YYMMDD);HORA (HHMM);;
200110;2000;24,5725;
200110;2100;22,745;
200110;2200;21,1875;
200110;2300;19,7658;
200111;0000;18,0908;
200111;0100;17,0225;
200111;0200;17,5183;
200111;0300;17,3192;
200111;0400;16,0692;
200111;0500;14,7142;
200111;0600;14,7667;
200111;0700;16,2408;
200111;0800;17,6242;
200111;0900;19,3976;
200111;1000;21,9975;
200111;1100;24,4408;
200111;1200;26,9006;
200111;1300;29,1689;
200111;1400;30,6298;
200111;1500;31,8297;
200111;1600;32,1017;
200111;1700;31,9917;
200111;1800;31,6442;
200111;1900;30,1042;
200111;2000;27,5033;
200111;2100;25,5642;
200111;2200;23,9283;
200111;2300;22,3483;
200112;0000;21,285;
200112;0100;20,2925;
200112;0200;18,51;
200112;0300;17,7483;
200112;0400;16,5983;
200112;0500;15,7517;
200112;0600;16,835;
200112;0700;19,0167;
200112;0800;20,5432;
200112;0900;22,718;
200112;1000;25,1858;
200112;1100;27,8633;
200112;1200;30,3492;
200112;1300;32,2542;
200112;1400;33,745;
200112;1500;35,0999;
200112;1600;35,235;
200112;1700;34,0092;
200112;1800;31,8467;
200112;1900;28,755;
200112;2000;25,5917;
200112;2100;23,9917;
200112;2200;21,75;
200112;2300;19,9808;
200113;0000;18,8417;
200113;0100;17,5525;
200113;0200;16,0683;
200113;0300;15,0958;
200113;0400;14,3442;
200113;0500;13,7567;
200113;0600;14,145;
200113;0700;16,0192;
200113;0800;17,9167;
200113;0900;19,0591;
200113;1000;21,4367;
200113;1100;23,8667;
200113;1200;26,9808;
200113;1300;28,815;
200113;1400;30,23;
200113;1500;31,1067;
200113;1600;31,3425;
200113;1700;31,1383;
200113;1800;30,6267;
200113;1900;29,1767;
200113;2000;26,47;
200113;2100;24,0367;
200113;2200;22,5617;
200113;2300;21,1283;
200114;0000;20,3358;
200114;0100;18,9225;
200114;0200;17,9233;
200114;0300;17,05;
200114;0400;16,1808;
200114;0500;15,6042;
200114;0600;16,4875;
200114;0700;17,7542;
200114;0800;19,0775;
200114;0900;20,7575;
200114;1000;23,1583;
200114;1100;26,4042;
200114;1200;28,1633;
200114;1300;29,08;
200114;1400;30,1392;
200114;1500;31,0567;
200114;1600;30,9508;
200114;1700;30,1692;
200114;1800;29,1408;
200114;1900;27,7267;
200114;2000;26,12;
200114;2100;24,8083;
200114;2200;23,1917;
200114;2300;21,5142;
200115;0000;19,2852;
200115;0100;17,4301;
200115;0200;15,3612;
200115;0300;13,8879;
200115;0400;12,9871;
200115;0500;12,4287;
200115;0600;12,7275;
200115;0700;14,2483;
200115;0800;15,6986;
200115;0900;17,4814;
200115;1000;19,6996;
200115;1100;21,6871;
200115;1200;23,4695;
200115;1300;24,5603;
200115;1400;25,5634;
200115;1500;26,1242;
200115;1600;25,9683;
200115;1700;25,2258;
200115;1800;24,0642;
200115;1900;22,6367;
200115;2000;21,2167;
200115;2100;20,0342;
200115;2200;18,65;
200115;2300;17,3667;
200116;0000;16,2108;
200116;0100;15,0996;
200116;0200;14,3187;
200116;0300;13,7571;
200116;0400;13,2962;
200116;0500;12,8596;
200116;0600;12,7758;
200116;0700;13,6625;
200116;0800;14,8258;
200116;0900;16,2042;
200116;1000;18,1092;
200116;1100;20,0908;
200116;1200;22,5783;
200116;1300;24,1317;
200116;1400;26,2675;
200116;1500;27,7975;
200116;1600;29,2933;
200116;1700;30,4808;
200116;1800;29,815;
200116;1900;28,3992;
200116;2000;25,2917;
200116;2100;24,1475;
200116;2200;22,41;
200116;2300;20,34;
200117;0000;19,64;
200117;0100;17,93;
200117;0200;16,9892;
200117;0300;16,2583;
200117;0400;15,595;
200117;0500;15,0325;
200117;0600;15,3625;
200117;0700;18,6117;
200117;0800;20,03;
200117;0900;22,5075;
200117;1000;24,9679;
200117;1100;27,3946;
200117;1200;30,3142;
200117;1300;32,5083;
200117;1400;33,8958;
200117;1500;35,0125;
200117;1600;35,1375;
200117;1700;35,2667;
200117;1800;32,9267;
200117;1900;29,5658;
200117;2000;27,0092;
200117;2100;25,7617;
200117;2200;24,2192;
200117;2300;21,9458;
200118;0000;20,3267;
200118;0100;18,9925;
200118;0200;17,8808;
200118;0300;17,205;
200118;0400;16,64;
200118;0500;15,9917;
200118;0600;16,1908;
200118;0700;18,3367;
200118;0800;20,9258;
200118;0900;22,7317;
200118;1000;25,5;
200118;1100;27,51;
200118;1200;29,7717;
200118;1300;32,2742;
200118;1400;33,7958;
200118;1500;34,1092;
200118;1600;34,105;
200118;1700;33,8125;
200118;1800;31,6325;
200118;1900;29,7842;
200118;2000;28,1425;
200118;2100;26,8083;
200118;2200;25,7508;
200118;2300;24,0125;
200119;0000;22,6092;
200119;0100;21,3642;
200119;0200;20,5475;
200119;0300;19,5833;
200119;0400;18,4542;
200119;0500;17,8792;
200119;0600;17,8258;
200119;0700;19,2467;
200119;0800;21,1808;
200119;0900;22,9162;
200119;1000;25,4428;
200119;1100;27,4745;
200119;1200;29,6402;
200119;1300;30,8527;
200119;1400;31,6319;
200119;1500;31,1833;
200119;1600;30,0217;
200119;1700;27,5117;
200119;1800;25,7517;
200119;1900;24,6408;
200119;2000;22,7833;
200119;2100;22,025;
200119;2200;20,8142;
200119;2300;19,6833;
200120;0000;18,645;
200120;0100;18,095;
200120;0200;16,8333;
200120;0300;16,0383;
200120;0400;15,7225;
200120;0500;15,5333;
200120;0600;15,4917;
200120;0700;16,665;
200120;0800;19,0158;
200120;0900;21,7383;
200120;1000;23,5792;
200120;1100;26,1717;
200120;1200;28,0225;
200120;1300;30,5975;
200120;1400;31,7042;
200120;1500;33,17;
200120;1600;33,8467;
200120;1700;33,7575;
200120;1800;32,775;
200120;1900;30,8642;
200120;2000;27,645;
200120;2100;25,7475;
200120;2200;24,6875;
200120;2300;23,0483;
200121;0000;21,3867;
200121;0100;20,0392;
200121;0200;18,4883;
200121;0300;17,6575;
200121;0400;16,9558;
200121;0500;16,3092;
200121;0600;17,1775;
200121;0700;18,8475;
200121;0800;20,31;
200121;0900;22,3573;
200121;1000;24,6942;
200121;1100;27,4358;
200121;1200;30,0917;
200121;1300;32,55;
200121;1400;33,8325;
200121;1500;34,6883;
200121;1600;34,9542;
200121;1700;34,8967;
200121;1800;33,72;
200121;1900;30,3033;
200121;2000;27,7108;
200121;2100;25,8875;
200121;2200;24,635;
200121;2300;21,9942;
200122;0000;20,4917;
200122;0100;19,6175;
200122;0200;18,7742;
200122;0300;18,0058;
200122;0400;17,1533;
200122;0500;16,5633;
200122;0600;16,4483;
200122;0700;17,9892;
200122;0800;20,41;
200122;0900;22,6767;
200122;1000;24,2358;
200122;1100;25,6817;
200122;1200;26,9583;
200122;1300;27,7;
200122;1400;28,4408;
200122;1500;28,9192;
200122;1600;29,4275;
200122;1700;28,7808;
200122;1800;27,335;
200122;1900;25,1692;
200122;2000;23,2158;
200122;2100;21,35;
200122;2200;20,1258;
200122;2300;19,0383;
200123;0000;17,685;
200123;0100;17,3483;
200123;0200;17,4018;
200123;0300;16,7217;
200123;0400;16,3322;
200123;0500;16,2875;
