FECHA (YYMMDD);HORA (HHMM);;
200110;2100;36,0392;
200110;2200;47,6358;
200110;2300;51,9542;
200111;0000;57,5642;
200111;0100;62,0433;
200111;0200;58,5125;
200111;0300;58,9017;
200111;0400;65,0042;
200111;0500;71,4659;
200111;0600;72,5525;
200111;0700;66,5026;
200111;0800;61,2158;
200111;0900;55,571;
200111;1000;48,2767;
200111;1100;42,4933;
200111;1200;36,207;
200111;1300;31,8739;
200111;1400;29,0588;
200111;1500;26,5522;
200111;1600;25,1158;
200111;1700;23,3958;
200111;1800;22,0333;
200111;1900;26,4292;
200111;2000;31,5458;
200111;2100;33,2217;
200111;2200;36,8058;
200111;2300;40,7683;
200112;0000;44,0942;
200112;0100;47,9883;
200112;0200;53,665;
200112;0300;58,6642;
200112;0400;64,1433;
200112;0500;68,9075;
200112;0600;67,5375;
200112;0700;64,4958;
200112;0800;60,6055;
200112;0900;54,2503;
200112;1000;46,5767;
200112;1100;37,7358;
200112;1200;30,0067;
200112;1300;26,1537;
200112;1400;22,9646;
200112;1500;22,7212;
200112;1600;23,0092;
200112;1700;23,5225;
200112;1800;25,0292;
200112;1900;29,575;
200112;2000;35,5175;
200112;2100;37,175;
200112;2200;49,245;
200112;2300;56,5508;
200113;0000;60,555;
200113;0100;65,4917;
200113;0200;72,4235;
200113;0300;76,5958;
200113;0400;80,3458;
200113;0500;82,3333;
200113;0600;80,7775;
200113;0700;72,4783;
200113;0800;65,5699;
200113;0900;62,0282;
200113;1000;55,385;
200113;1100;48,6283;
200113;1200;39,2025;
200113;1300;35,9267;
200113;1400;33,9133;
200113;1500;33,7717;
200113;1600;31,3967;
200113;1700;28,715;
200113;1800;28,2842;
200113;1900;31,4442;
200113;2000;41,9067;
200113;2100;48,0892;
200113;2200;51,5;
200113;2300;56,8292;
200114;0000;59,5975;
200114;0100;64,7083;
200114;0200;68,6525;
200114;0300;72,8643;
200114;0400;76,4442;
200114;0500;78,8633;
200114;0600;75,0983;
200114;0700;67,7683;
200114;0800;63,2367;
200114;0900;58,2683;
200114;1000;52,185;
200114;1100;44,0217;
200114;1200;38,7233;
200114;1300;33,7042;
200114;1400;27,875;
200114;1500;20,2908;
200114;1600;23,6958;
200114;1700;32,22;
200114;1800;35,4292;
200114;1900;38,805;
200114;2000;42,5517;
200114;2100;46,9583;
200114;2200;52,135;
200114;2300;52,7875;
200115;0000;49,7744;
200115;0100;47,066;
200115;0200;51,3776;
200115;0300;54,7659;
200115;0400;57,6199;
200115;0500;59,9958;
200115;0600;59,4417;
200115;0700;53,7408;
200115;0800;48,8405;
200115;0900;42,0679;
200115;1000;36,7366;
200115;1100;32,1282;
200115;1200;28,2928;
200115;1300;26,507;
200115;1400;25,5235;
200115;1500;25,0533;
200115;1600;25,2875;
200115;1700;26,3458;
200115;1800;27,9442;
200115;1900;28,7383;
200115;2000;30,3108;
200115;2100;32,96;
200115;2200;36,41;
200115;2300;39,2251;
200116;0000;43,5975;
200116;0100;48,8633;
200116;0200;49,6383;
200116;0300;49,7816;
200116;0400;49,7098;
200116;0500;51,4339;
200116;0600;52,7542;
200116;0700;50,9467;
200116;0800;48,7433;
200116;0900;45,9867;
200116;1000;42,4458;
200116;1100;38,9925;
200116;1200;35,6858;
200116;1300;34,455;
200116;1400;31,835;
200116;1500;29,8742;
200116;1600;27,8127;
200116;1700;25,6575;
200116;1800;27,7;
200116;1900;31,5258;
200116;2000;38,6817;
200116;2100;36,2458;
200116;2200;40,6342;
200116;2300;53,7017;
200117;0000;59,1542;
200117;0100;67,1375;
200117;0200;70,7975;
200117;0300;73,0717;
