FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200109;0600;15,9572;;;
200109;0700;8,62302;;;
200109;0800;3,05405;;;
200109;0900;1,13858;;;
200109;1000;1;;;
200109;1100;7,93091;;;
200109;1200;25,9155;;;
200109;1300;1,98631;;;
200109;1400;1,48688;;;
200109;1500;;;;
200109;1600;;;;
200109;1700;;;;
200109;1800;5,58089;;;
200109;1900;4,23376;;;
200109;2000;6,94032;;;
200109;2100;4,28474;;;
200109;2200;1,64692;;;
200109;2300;2,93962;;;
200110;0000;2,70153;;;
200110;0100;1,78526;;;
200110;0200;1,03051;;;
200110;0300;1,86911;;;
200110;0400;4,06536;;;
200110;0500;5,98175;;;
200110;0600;8,63866;;;
200110;0700;7,37902;;;
200110;0800;2,7604;;;
200110;0900;2,19357;;;
200110;1000;1;;;
200110;1100;1,23732;;;
200110;1200;1,69361;;;
200110;1300;1,00082;;;
200110;1400;1;;;
200110;1500;1,11932;;;
200110;1600;2,08458;;;
200110;1700;1,23486;;;
200110;1800;2,20178;;;
200110;1900;4,58947;;;
200110;2000;21,5269;;;
200110;2100;27,9838;;;
200110;2200;10,9182;;;
200110;2300;14,8245;;;
200111;0000;15,9181;;;
200111;0100;10,2329;;;
200111;0200;7,56373;;;
200111;0300;1,16448;;;
200111;0400;2,00605;;;
200111;0500;4,19901;;;
200111;0600;4,72204;;;
200111;0700;3,52694;;;
200111;0800;1,45929;;;
200111;0900;1,00598;;;
200111;1000;1,00007;;;
200111;1100;1,01363;;;
200111;1200;1;;;
200111;1300;1,03467;;;
200111;1400;1;;;
200111;1500;1,00947;;;
200111;1600;1;;;
200111;1700;1;;;
200111;1800;1,17327;;;
200111;1900;3,48137;;;
200111;2000;24,416;;;
200111;2100;11,7923;;;
200111;2200;17,6805;;;
200111;2300;20,8025;;;
200112;0000;8,68532;;;
200112;0100;6,42461;;;
200112;0200;7,80516;;;
200112;0300;12,4418;;;
200112;0400;14,481;;;
200112;0500;12,6955;;;
200112;0600;11,6535;;;
200112;0700;2,20602;;;
200112;0800;1,00672;;;
200112;0900;1;;;
200112;1000;1;;;
200112;1100;1,52305;;;
200112;1200;1,8172;;;
200112;1300;1,01977;;;
200112;1400;1;;;
200112;1500;1;;;
200112;1600;1,77575;;;
200112;1700;1,35547;;;
200112;1800;2,15796;;;
200112;1900;4,00157;;;
200112;2000;4,25747;;;
200112;2100;2,63442;;;
200112;2200;5,3753;;;
200112;2300;4,19188;;;
200113;0000;1,87517;;;
200113;0100;1;;;
200113;0200;1,00964;;;
200113;0300;1,20666;;;
200113;0400;1,22905;;;
200113;0500;3,98717;;;
200113;0600;9,12193;;;
200113;0700;11,3099;;;
200113;0800;7,96458;;;
200113;0900;1,68438;;;
200113;1000;1,08179;;;
200113;1100;1,09536;;;
200113;1200;1,66375;;;
200113;1300;17,9031;;;
200113;1400;5,20285;;;
200113;1500;1,03496;;;
200113;1600;2,48914;;;
200113;1700;1,47489;;;
200113;1800;2,044;;;
200113;1900;5,91106;;;
200113;2000;14,0771;;;
200113;2100;5,7903;;;
200113;2200;5,94848;;;
200113;2300;14,1792;;;
200114;0000;9,30382;;;
200114;0100;4,6768;;;
200114;0200;3,57343;;;
200114;0300;4,39669;;;
200114;0400;5,84278;;;
200114;0500;7,77988;;;
200114;0600;17,3236;;;
200114;0700;7,38451;;;
200114;0800;2,94304;;;
200114;0900;1,63869;;;
200114;1000;1,04296;;;
200114;1100;1,95314;;;
200114;1200;1,07264;;;
200114;1300;1,49838;;;
200114;1400;1,13604;;;
200114;1500;1,13676;;;
200114;1600;3,47897;;;
200114;1700;1,10987;;;
200114;1800;1,62363;;;
200114;1900;3,65176;;;
200114;2000;4,43769;;;
200114;2100;4,77094;;;
200114;2200;2,31181;;;
200114;2300;1,89727;;;
200115;0000;1,01005;;;
200115;0100;1;;;
200115;0200;1;;;
200115;0300;1;;;
200115;0400;1;;;
200115;0500;1;;;
200115;0600;3,51017;;;
200115;0700;3,55415;;;
200115;0800;1,35511;;;
200115;0900;1,02095;;;
200115;1000;1;;;
200115;1100;1,22717;;;
200115;1200;1;;;
200115;1300;1,06084;;;
200115;1400;1;;;
200115;1500;1,41619;;;
200115;1600;8,757;;;
200115;1700;1,70552;;;
200115;1800;2,64288;;;
200115;1900;2,79358;;;
200115;2000;2,419;;;
200115;2100;1,24169;;;
200115;2200;1,59301;;;
200115;2300;1,42494;;;
200116;0000;1;;;
200116;0100;1,38856;;;
200116;0200;1;;;
200116;0300;1;;;
200116;0400;1,00598;;;
200116;0500;1,75973;;;
200116;0600;2,22932;;;
200116;0700;4,19186;;;
200116;0800;2,13691;;;
200116;0900;1,3174;;;
200116;1000;1,17775;;;
200116;1100;1,02835;;;
200116;1200;1,32022;;;
200116;1300;1,05093;;;
200116;1400;1,08545;;;
200116;1500;1,26276;;;
200116;1600;1,67837;;;
200116;1700;2,52919;;;
200116;1800;4,79613;;;
200116;1900;8,58585;;;
200116;2000;45,506;;;
200116;2100;17,0767;;;
200116;2200;25,266;;;
200116;2300;40,1302;;;
200117;0000;31,229;;;
200117;0100;24,5333;;;
200117;0200;25,2926;;;
200117;0300;22,9215;;;
200117;0400;23,6185;;;
200117;0500;31,2074;;;
200117;0600;50,61;;;
200117;0700;39,0176;;;
200117;0800;15,1756;;;
200117;0900;6,37604;;;
200117;1000;4,99432;;;
200117;1100;;;;
200117;1200;3,60611;;;
200117;1300;2,53469;;;
200117;1400;1,3923;;;
200117;1500;2,04433;;;
200117;1600;2,76896;;;
200117;1700;6,56549;;;
200117;1800;4,78947;;;
200117;1900;7,69879;;;
200117;2000;6,63202;;;
200117;2100;9,46973;;;
200117;2200;9,79134;;;
200117;2300;12,6605;;;
200118;0000;17,2946;;;
200118;0100;14,7613;;;
200118;0200;17,179;;;
200118;0300;14,2241;;;
200118;0400;16,2358;;;
200118;0500;13,9563;;;
200118;0600;19,6523;;;
200118;0700;31,1599;;;
200118;0800;13,6193;;;
200118;0900;3,18346;;;
200118;1000;2,56046;;;
200118;1100;1,38098;;;
200118;1200;2,38091;;;
